release_year,metascore,app_name
2015,67,The Park
2015,94,Divinity: Original Sin - Enhanced Edition
2015,84,Bulb Boy
2015,85,The Binding of Isaac: Afterbirth
2015,72,Anno 2205™
2015,73,Call of Duty®: Black Ops III
2015,79,The Incredible Adventures of Van Helsing: Final Cut
2015,82,Kero Blaster
2015,63,Life is Feudal: Your Own
2015,74,Mordheim: City of the Damned
2015,69,Mayan Death Robots
2015,66,FIVE: Guardians of David
2015,68,FIM Speedway Grand Prix 15
2015,74,Just Cause™ 3
2015,69,Valhalla Hills
2015,80,DARIUSBURST Chronicle Saviours
2015,84,GUILTY GEAR Xrd -SIGN-
2015,66,Knee Deep Demo
2015,54,Hatoful Boyfriend: Holiday Star
2016,73,Punch Club
2016,54,The Great Escape
2016,61,Tharsis
2016,78,"That Dragon, Cancer"
2016,80,Oxenfree
2016,81,Dragon's Dogma: Dark Arisen
2016,75,Drawn™: Dark Flight
2016,79,Homeworld: Deserts of Kharak
2016,87,The Witness
2016,63,Spellweaver
2016,79,Dying Light: The Following
2016,75,Downfall
2004,71,Men of Valor
2016,54,The Preposterous Awesomeness of Everything
2016,40,Doors
2016,68,Defragmented
2016,58,ZHEROS
2016,72,Layers of Fear
2016,74,Street Fighter V
2016,64,Californium
2016,43,Prospekt
2016,59,No Pineapple Left Behind
2016,78,Dungelot: Shattered Lands
2016,82,Danganronpa: Trigger Happy Havoc
2016,73,The Flame in the Flood
2016,72,Hitman GO: Definitive Edition
2016,53,Shadwen
2016,74,Disgaea PC / 魔界戦記ディスガイア PC
2016,82,SUPERHOT
2016,78,The Count Lucanor
2016,68,The Guest
2016,82,Momodora: Reverie Under The Moonlight
2003,58,Highland Warriors
2016,40,Alekhine's Gun
2016,63,Obscuritas
2016,81,Nelly Cootalot: The Fowl Fleet
2016,66,Zombasite
2016,80,Samorost 3
2016,84,Hyper Light Drifter
2016,73,The Minims
2015,74,Anna's Quest
2016,67,Good Robot
2016,80,DARIUSBURST Chronicle Saviours - Space Harrier
2016,80,DARIUSBURST Chronicle Saviours - Fantasy Zone
2016,80,DARIUSBURST Chronicle Saviours - Galaxy Force II
2016,53,Code of Princess
2016,72,LOUD on Planet X
2005,55,Saw
2016,71,Corpse Party
2016,58,Cornerstone: The Song of Tyrim
2016,70,Wailing Heights
2016,88,Ori and the Blind Forest: Definitive Edition
2016,78,Offworld Trading Company
2016,52,Back in 1995
2016,59,N.E.R.O.: Nothing Ever Remains Obscure
2016,77,Kathy Rain
2016,69,Fragments of Him
2016,69,Battleborn
2016,69,TransOcean 2: Rivals
2016,57,Goliath
2016,54,Homefront®: The Revolution
2016,84,Salt and Sanctuary
2016,71,Overfall
2016,83,Duskers
2016,55,OmniBus
2016,53,Planar Conquest
2016,73,Turmoil
2016,65,Sherlock Holmes: The Devil's Daughter
2016,54,Trials of the Blood Dragon
2016,82,BLACKHOLE: Challenge Vault
2016,82,WildStar: Captain's Pack
2016,82,WildStar: Cute & Cuddly Pack
2016,76,Furi
2016,78,The Lion's Song: Episode 1 - Silence
2016,61,Fossil Echo
2016,82,VIDEOBALL
2016,76,Muv-Luv
2016,79,EARTH DEFENSE FORCE 4.1 The Shadow of New Despair
2016,36,Ian's Eyes
2016,79,Kelvin and the Infamous Machine
2016,46,DreamBreak
2003,65,Journey to the Center of the Earth
2016,64,8DAYS - PEACE IS OUR BUSINESS
2016,81,Starbound
2016,70,Human: Fall Flat
2016,78,Lovely Planet Arcade
2016,74,Headlander
2016,62,Little King's Story
2016,75,Road to Ballhalla
2016,67,The Silver Case
2016,55,Ray Gigant
2016,77,Reigns
2016,71,Grow Up
2016,86,F1 2016
2016,79,Worms W.M.D
2016,83,Deus Ex: Mankind Divided
1999,80,"Gabriel Knight® 3: Blood of the Sacred, Blood of the Damned"
2006,74,Caesar™ IV
2016,79,Hue
2016,74,The Turing Test
2016,73,Talent Not Included
2016,76,The Final Station
2016,70,The Warlock of Firetop Mountain
2016,71,Halcyon 6: Starbase Commander
2016,57,The Bunker
2016,63,Wheels of Aurelia
2016,80,Seraph
2016,57,Zenith
2016,90,NBA 2K17
2016,79,Fractured Space
2016,71,Klang
2016,72,Lichtspeer
2016,76,Clustertruck
2016,78,Sunless Sea - Zubmariner
2016,71,Mantis Burn Racing®
2016,81,GoNNER
2016,71,Crazy Machines 3
2016,77,Orwell: Keeping an Eye On You
2016,88,Sid Meier’s Civilization® VI
2016,69,Farming Simulator 17
2016,83,Slayaway Camp
2016,64,Oh...Sir!! The Insult Simulator
2016,74,The Elder Scrolls V: Skyrim Special Edition
2016,80,Football Manager 2017
2016,75,Beholder
2016,74,Yesterday Origins
2016,75,Silence
2016,80,Candle
2016,68,Don't open the doors!
2016,84,ICEY
2016,75,Killing Floor 2
2016,80,Cities: Skylines - Natural Disasters
2016,61,The Dwarves
2016,72,Steep™
2016,67,Dungeon Souls
2016,60,Her Majesty's SPIFFING
2016,71,Hearts of Iron IV: Together for Victory
2017,74,Milkmaid of the Milky Way
2001,80,Conquest: Frontier Wars
2017,75,Stars in Shadow
2017,64,SpiritSphere
2017,83,RESIDENT EVIL 7 biohazard / BIOHAZARD 7 resident evil
2017,58,Memoranda
2001,56,Deadly Dozen
2017,84,Aliens Go Home Run
2017,73,Atelier Sophie: The Alchemist of the Mysterious Book
2017,62,Take On Mars
2017,76,FOR HONOR™
2017,71,BOOR
2017,78,Hidden Folks
2017,88,Night in the Woods
2001,72,Anarchy Online
2017,86,Hollow Knight
2017,77,Downward
2017,69,DESYNC
2017,71,Loot Rascals
2017,74,Dead Rising 4
2017,73,Toukiden 2
2017,86,Monster Slayers
2017,83,Quern - Undying Thoughts (Original Soundtrack)
2017,71,Mantis Burn Racing® - Elite Class
2017,71,Mantis Burn Racing® - Snowbound Pack
2017,84,Thimbleweed Park™
2017,80,LEGO City Undercover
2017,78,Slime-san
2017,83,The Sexy Brutale
2017,90,Bayonetta
2017,73,Yooka-Laylee
2017,50,Snow Moto Racing Freedom
2017,77,Cosmic Star Heroine
2017,63,Voodoo Vince: Remastered
2017,78,Marvel's Guardians of the Galaxy: The Telltale Series
2017,77,Full Throttle Remastered
2000,72,Call to Power II
2000,74,Vampire: The Masquerade - Redemption
2017,74,Forts
2017,81,Little Nightmares
2000,46,Beachhead 2000
2017,70,Dawn of Andromeda
2017,75,World to the West
2017,84,Rakuen
2017,57,Empathy: Path of Whispers
2017,66,Bounty Train
2017,75,Bokida - Heartfelt Reunion
2017,78,Cities: Skylines - Mass Transit
2017,74,Mages of Mystralia
2017,72,Portal Knights
2017,78,The Infectious Madness of Doctor Dekker
2017,68,Dynasty Feud
2017,74,Starpoint Gemini Warlords
2017,73,Black Desert Online
2017,64,Danger Zone
2017,81,Rising Storm 2: Vietnam
2017,68,The Long Journey Home
2017,58,Formula Fusion
2017,82,TEKKEN 7
2017,68,Blitzkrieg 3
2017,83,Monolith
2017,71,Pro Cycling Manager 2017
2017,82,Darkest Dungeon®: The Crimson Court
2017,84,Nex Machina
2017,75,GET EVEN
2017,76,BULLET SOUL / バレットソウル - 弾魂 - Original Soundtrack
2017,81,Antihero
2017,76,Lode Runner Legacy
2017,64,Serial Cleaner
2017,70,Yonder: The Cloud Catcher Chronicles
2017,72,Dream Daddy: A Dad Dating Simulator
2017,76,Super Cloudbuilt
2017,82,Pyre
2017,68,Solstice Chronicles: MIA
2017,76,BULLET SOUL INFINITE BURST - Original Soundtrack
2017,76,Secret World Legends
2017,81,Aztez
2017,81,Slime Rancher
2017,80,The Legend of Heroes: Trails of Cold Steel
2017,69,The Shrouded Isle
2017,78,Cat Quest
2017,64,Fictorum
2017,86,West of Loathing
2017,70,Sudden Strike 4
2017,78,>observer_
2017,80,Nidhogg 2
2017,88,XCOM 2: War of the Chosen - Propaganda Center
2017,88,XCOM 2: War of the Chosen
2017,70,ARK: Survival Evolved
2017,80,Ys SEVEN
2017,67,Songbringer
2017,69,Fall of Light
2017,81,PRO EVOLUTION SOCCER 2018
2017,74,Oriental Empires
2017,71,Mantis Burn Racing® - Battle Cars
2017,80,Dishonored®: Death of the Outsider™
2017,65,ATOMEGA
2017,72,ECHO
2017,69,Marvel vs. Capcom: Infinite
2017,59,Auto Age: Standoff
2017,79,Heat Signature
2017,77,Figment
2017,61,BLUE REFLECTION / BLUE REFLECTION　幻に舞う少女の剣
2017,75,RUINER
2017,78,Vaporum
2017,81,JYDGE
2017,79,A Hat in Time
2017,76,Mushroom Wars 2
2017,66,Deadbeat Heroes
1996,89,Star Control: Kessari Quadrant
2017,75,Bomber Crew
2016,68,Hide and Shriek
2017,75,Attentat 1942
2017,58,Sonic Forces
2017,85,Battlerite
2017,81,Reigns: Her Majesty
2017,74,SpellForce 3
2017,83,Gorogoa
2005,58,EMERGENCY 3
2017,78,Bridge Constructor Portal
2003,75,Hidden & Dangerous 2: Courage Under Fire
2000,74,Hidden & Dangerous: Action Pack
2002,67,Army Men RTS
1999,67,Army Men II
2017,54,Raiders of the Broken Planet - Ultimate Edition
2017,76,Purrfect Date - Visual Novel/Dating Simulator
2017,82,Finding Paradise
2017,63,No Escape
2017,93,OKAMI HD / 大神 絶景版
2017,40,Hello Neighbor
2017,76,Breakneck
2017,86,Wolfenstein II: The New Colossus
2017,80,Battle Chef Brigade
2017,65,HYAKKI CASTLE
2017,81,World of Warships
2017,51,Syberia 3
2017,82,Football Manager 2018
2017,80,Hand of Fate 2
2017,69,.hack//G.U. Last Recode
2017,80,Zwei: The Ilvard Insurrection
2017,86,Wolfenstein II: The New Colossus
2017,54,Freaky Awesome
2017,66,WWE 2K18
2017,75,Dungeons 3
2017,81,The Evil Within 2
2017,84,Field of Glory II
2017,46,Inmates
2017,66,Ogre
2017,56,EMPYRE: Lords of the Sea Gates
2017,79,Battle Chasers: Nightwar
2017,75,Mutant Football League
2017,86,Microsoft Allegiance
2017,88,Cuphead
2017,86,Total War: WARHAMMER II
2017,77,Hob
2017,53,RAID: World War II
2017,50,Pylon: Rogue
2017,54,Raiders of the Broken Planet - Eternal Soldier Campaign
2017,85,SteamWorld Dig 2
2017,78,The Journey Down: Chapter Three
2017,83,Stellaris: Synthetic Dawn Story Pack
2017,73,Another Lost Phone: Laura's Story
2017,66,CHASER
2017,82,Super Hydorah
2017,87,NBA 2K18
2017,93,Divinity: Original Sin 2
2017,80,Tooth and Tail
2017,70,Tokyo Dark
2017,55,Beat The Game
2001,73,WWII Online
2017,68,Darkestville Castle
2017,75,Last Day of June
2017,77,Battlestar Galactica Deadlock
2017,79,Life is Strange: Before the Storm
2017,75,Absolver
2017,84,Sonic Mania
2017,89,F1™ 2017
2017,74,The Escapists 2
2017,83,Subsurface Circular
2017,64,Moero Chronicle | 限界凸記 モエロクロニクル | 極限凸記　萌萌編年史
2017,73,Halcyon 6: Starbase Commander (LIGHTSPEED EDITION)
2017,76,LawBreakers
2017,83,Hellblade: Senua's Sacrifice
2017,76,Tacoma
2017,74,Sundered
2017,65,Immortal Planet
2017,65,Aven Colony
2017,71,Dreamfall Chapters
2017,58,Behold the Kickmen
2017,71,Aporia: Beyond The Valley
2017,76,Gigantic
2017,80,Kingsway
2017,73,Children of Zodiarcs
2017,84,The End Is Nigh
2017,72,Black The Fall
2017,69,Baobabs Mausoleum Ep.1: Ovnifagos Don´t Eat Flamingos
2017,52,No70: Eye of Basir
2017,80,CRYPTARK
2017,87,FINAL FANTASY XIV: Stormblood
2017,78,DiRT 4
2017,48,Randall
2017,73,Conarium
2017,78,Lydia
2017,53,AereA
2017,70,Rezrog
2017,70,Tokyo 42
2017,69,Hover
2017,81,Emily is Away Too
2017,78,RiME
2017,61,Friday the 13th: The Game
2017,78,Vanquish
2017,83,Steel Division: Normandy 44
2017,62,Impact Winter
2017,69,The Fidelio Incident
2017,77,Old Man's Journey
2017,73,Regalia: Of Men and Monarchs
2017,72,The Surge
2017,69,Plasma Puncher
2017,71,OVIVO
2017,77,Block'hood
2017,67,NBA Playgrounds
2017,83,The Legend of Heroes: Trails in the Sky the 3rd
2017,74,Expeditions: Viking
2017,70,Immortal Redneck
2017,89,What Remains of Edith Finch
2017,78,Everything
2017,87,Orcs Must Die! Unchained
2017,80,Flinthook
2017,68,Shiness: The Lightning Kingdom
2017,79,Altitude
1998,88,Shogo: Mobile Armor Division
2017,76,Bulletstorm: Full Clip Edition
2017,65,The Franz Kafka Videogame
2017,76,BULLET SOUL / バレットソウル - 弾魂 -
2017,70,Blackwood Crossing
2017,52,FlatOut 4: Total Insanity
2017,61,The Great Whale Road
2017,66,Miniature Garden
2017,66,Rain World
2017,63,Fallout Shelter
2017,80,Battle Brothers
2017,63,Has-Been Heroes
2017,62,"Mafia III: Faster, Baby!"
2017,48,Bush Hockey League
2017,71,Snake Pass
2017,86,Out of the Park Baseball 18
2017,65,The Crow's Eye
2017,73,Kona
2017,84,NieR:Automata™
2017,61,The Keep
2016,76,Dark Train
2017,75,Future Unfolding
2012,58,Gas Guzzlers: Combat Carnage
2017,68,2Dark
2017,78,Blossom Tales: The Sleeping King
2017,80,Faeria
2017,81,Stories Untold
2016,81,Torment: Tides of Numenera
2017,78,Shadows of Adam
2017,77,Herald: An Interactive Period Drama - Book I & II
2017,72,DYSTORIA
2017,76,🔴 Circles
2017,44,NeverEnd
2017,72,The Wardrobe
2017,49,We Are Chicago
2017,75,Alone With You
2017,66,Brut@l
2017,74,Leaving Lyndow
2017,83,Bleed 2
2017,59,Arelite Core
2017,61,WWE 2K17
2017,61,Phoning Home
2017,79,Splasher
2017,64,Nights of Azure
2016,63,Youtubers Life
2017,66,Diluvion
2017,71,Alwa's Awakening
2006,46,Elite Warriors: Vietnam
2017,67,Angels with Scaly Wings
2017,81,Disgaea 2 PC / 魔界戦記ディスガイア2 PC
2017,50,Double Dragon IV
2017,90,Linelight
2017,71,A Normal Lost Phone
2017,67,Nefarious
2017,62,Urban Empire
2017,68,"Warhammer 40,000: Sanctus Reach"
2017,80,Tales of Berseria™
2016,73,Ladykiller in a Bind
2004,68,Nancy Drew®: The Secret of Shadow Ranch
2017,82,HoPiKo
2016,69,99Vidas
2016,76,Shantae: Half-Genie Hero
2016,58,Stereo Aereo
2016,62,The Little Acre
2016,81,OneShot
2016,63,Nitroplus Blasterz: Heroines Infinite Duel
2003,68,Line of Sight: Vietnam
2016,65,Maize
2016,83,Quern - Undying Thoughts
2016,84,Planet Coaster
2016,43,RollerCoaster Tycoon World™
2016,64,Super Rad Raygun
2016,56,ENIGMA:
2016,72,Dofus
2016,80,Mekazoo
2016,86,Dishonored 2
2016,81,Ashes of the Singularity: Escalation
2016,81,Motorsport Manager
2016,67,Small Radios Big Televisions
2016,65,Pirate Pop Plus
2016,73,Call of Duty®: Infinite Warfare
2016,78,Xanadu Next
2016,82,Creepy Castle
2016,64,Franchise Hockey Manager 3
2016,88,Owlboy
2016,75,Rusty Lake: Roots
2016,82,Endless Legend™ - Tempest
2016,78,Shadow Warrior 2
2016,72,Duke Nukem 3D: 20th Anniversary World Tour
2016,67,Ride 2
2016,68,WRC 6 FIA World Rally Championship
2016,62,Five Nights at Freddy's: Sister Location
2016,62,Mafia III
2016,81,Atlas Reactor
2016,71,Aragami
2016,85,Shu
2016,64,Masquerada: Songs and Shadows
2016,78,Wuppo
2016,79,The Metronomicon: Slay The Dance Floor
2016,54,Hybrid Wars
2016,82,Burly Men at Sea
2016,67,Rogue Wizards
2016,66,Toy Odyssey: The Lost and Found
2016,69,Diaries of a Spaceport Janitor
2016,70,Marooners
2016,75,Event[0]
2016,70,Ember
2016,87,STEINS;GATE
2016,73,Project Highrise
2016,69,How to Survive 2
2016,68,Unbox: Newbie's Adventure
2016,70,Mother Russia Bleeds
2016,90,Tadpole Treble
2016,74,The Curious Expedition
2016,75,Seasons after Fall
2016,66,Tahira: Echoes of the Astral Empire
2016,82,RunGunJumpGun
2016,51,Shiny
2016,73,Livelock
2016,90,N++ (NPLUSPLUS)
2016,74,Master of Orion
2003,64,Master of Orion 3
2016,74,Virginia
2016,66,Metrico+
2016,82,Duelyst
2016,49,Guards
2016,69,Okhlos: Omega
2016,67,Champions of Anteria™
2016,61,No Man's Sky
2016,80,Tricky Towers
2016,83,ABZU
2016,70,Near Death
2016,81,Overcooked
2017,82,She Remembered Caterpillars
2016,81,Quadrilateral Cowboy
2017,73,Mainlining
2016,41,MilitAnt
2016,91,Tumblestone
2016,73,Poly Bridge
2016,74,The Real Texas
2016,79,Anarcute
2016,50,Krai Mira: Extended Cut
2016,74,Arma 3 Apex
2016,71,Song of the Deep
2016,63,Crush Your Enemies
2017,75,The Darkside Detective
2016,52,Mighty No. 9
2016,77,VA-11 Hall-A: Cyberpunk Bartender Action
2016,75,Space Run Galaxy
2016,64,Pro Cycling Manager 2016
2016,72,Valentino Rossi The Game
2016,77,On Rusty Trails
2014,82,WildStar
2016,82,WildStar: Adventure Pack
2016,82,WildStar: Hero Pack
2016,82,WildStar: Legend Pack (NA)
2016,81,SteamWorld Heist
2016,66,Last Days of Old Earth
2016,68,WASTED
2016,83,Hearts of Iron IV
2016,40,Super Duper Party Pooper
2016,58,Hunter's Legacy
2016,73,Hard Reset Redux
2016,54,Dangerous Golf
2016,70,Brigador: Up-Armored Edition
2016,70,SENRAN KAGURA SHINOVI VERSUS
2016,67,TurnOn
2016,76,Chronicle: RuneScape Legends
2016,69,Excubitor
2016,74,Blacksea Odyssey
2016,86,Total War: WARHAMMER
2016,77,Lumo
2016,54,POSTAL Redux
2016,68,Koihime Enbu
2016,80,Sengoku Jidai: Shadow of the Shogun
2016,72,Demetrios - The BIG Cynical Adventure
2004,67,The Punisher
2016,85,DOOM
2016,64,Ryzom
2016,58,Scrap Garden
2016,53,Dead Effect 2
2016,78,Stellaris
2016,73,Cars
2016,74,Neon Chrome
1992,50,Reservoir Dogs
1996,58,FROM DUSK TILL DAWN
2016,63,March of the Living
2016,67,Megamagic: Wizards of the Neon Age
2016,83,Don't Starve Together
2016,77,Battlefleet Gothic: Armada
2016,68,Rogue Stormers
2016,90,Stephen's Sausage Roll
2016,75,Battlezone 98 Redux
2016,83,Danganronpa 2: Goodbye Despair
2016,87,HEX: Shards of Fate
2016,50,IS Defense
2016,82,The Banner Saga 2
2016,84,FINAL FANTASY IX
2016,79,Goetia
2016,76,Everybody's Gone to the Rapture
2016,69,Aurion: Legacy of the Kori-Odan
2016,89,DARK SOULS™ III
2016,74,Stories: The Path of Destinies
2016,80,Mushroom Wars
2016,57,Kill to Collect
2016,84,Enter the Gungeon
2016,80,1979 Revolution: Black Friday
2016,77,Baldur's Gate: Siege of Dragonspear
2016,80,Leap of Fate
2016,74,Epistory - Typing Chronicles
2016,77,Magical Eyes - Red is for Anguish
2016,85,The Last Door: Season 2 - Collector's Edition
2016,74,Slain: Back from Hell
2016,57,The Descendant: Rest of Season
2016,59,The Descendant
2016,86,Day of the Tentacle Remastered
2016,76,Polaris Sector
2016,92,Out of the Park Baseball 17
2016,85,Music Pack - Music for Code EP
2016,62,Moon Hunters
2016,74,WWE 2K16
2016,78,Deathsmiles
2016,75,"Gremlins, Inc."
2016,49,Ares Omega
2016,61,Into the Stars
2016,54,E.T. Armies
2016,89,Stardew Valley
2016,74,Far Cry® Primal
2016,75,Shardlight
2016,76,Deponia Doomsday
2016,48,Blood Alloy: Reborn
2016,57,Soul Axiom
2016,83,Grim Dawn
2016,74,Heaven's Hope - Special Edition
2016,72,Ninja Senki DX
2016,78,Obliteracers
2016,83,Devil Daggers
2016,72,Cities: Skylines - Snowfall
2004,81,"Codename: Panzers, Phase One"
2005,80,"Codename: Panzers, Phase Two"
2016,57,ARSLAN: THE WARRIORS OF LEGEND
2016,76,American Truck Simulator
2016,81,Firewatch
2016,88,XCOM® 2
2016,69,Cobalt
2016,65,Rusty Lake Hotel
2016,67,CALENDULA
2016,83,DarkMaus
2004,74,Nemesis of the Roman Empire
2016,71,The Order of the Thorne - The King's Challenge
2016,78,Crashlands
2016,51,Dinocide
2016,80,Move or Die
2016,63,The Westport Independent
2004,73,Warlords Battlecry III
2016,41,Monumental
2016,62,Between Me and The Night
2016,65,Slybots: Frantic Zone
2016,54,Gemini: Heroes Reborn
2016,59,Shooting Stars!
2016,76,The Aquatic Adventure of the Last Human
2016,81,The Bug Butcher
2016,73,The Deadly Tower of Monsters
2016,84,Darkest Dungeon®
2016,77,Echoes of Aetheria
1998,85,Falcon 4.0
2015,49,Anomaly 1729
2016,86,Pony Island
2016,74,Sora
2010,65,Dragon Saga
2015,67,SimplePlanes
1997,86,Total Annihilation
2015,77,Aviary Attorney
2015,72,UnderRail
2015,66,Swords and Sorcery - Underworld - Definitive Edition
2015,63,Devilian
2015,55,Red Game Without A Great Name
2015,74,Zombie Vikings
2015,88,Nuclear Throne
2015,83,HELLDIVERS™
1996,77,Lords of the Realm II
2004,65,Lords of the Realm III
2015,77,Don't Starve: Shipwrecked
2015,83,CLANNAD
2015,74,12 is Better Than 6
2015,73,Thea: The Awakening
2015,73,Hard West
2015,74,Assassin's Creed® Syndicate
2015,86,Mushihimesama
2003,72,Impossible Creatures Steam Edition
2015,84,Fallout 4
2015,77,Mini Metro
2015,69,Clandestine
2015,63,Conflicks - Revolutionary Space Battles
2015,62,PONCHO
1997,89,Fallout: A Post Nuclear Role Playing Game
2015,71,Cibele
2015,69,Albert and Otto
2015,78,GALAK-Z
2015,76,Pathologic Classic HD
2015,80,The Legend of Heroes: Trails in the Sky SC
2015,79,Warhammer: End Times - Vermintide
2015,85,Chaos Reborn
2015,85,System Shock: Enhanced Edition
2015,76,DISTRAINT: Deluxe Edition
2015,57,Pulse
2015,69,The Coma: Cutting Class
2015,74,Ceres
2015,66,Rogue State
2015,78,Human Resource Machine
2015,70,Planetbase
2015,81,The Age of Decadence
2015,50,Animal Gods
2015,54,Bedlam
2015,83,Beyond Sol
2015,65,WRC 5 FIA World Rally Championship
2015,79,Sid Meier's Civilization: Beyond Earth - Rising Tide
2015,63,SKYHILL
2015,82,Ninja Pizza Girl
2015,58,Lost Horizon 2
2015,68,Pixel Galaxy
2015,66,The Escapists: The Walking Dead
2015,63,Grand Ages: Medieval
2015,76,Concrete Jungle
2015,60,A Fistful of Gun
2015,65,Journey To The Center Of The Earth
2015,65,Stairs
2015,84,80 Days
2015,79,Else Heart.Break()
2015,80,Penarium
2015,76,Blood Bowl 2
2015,75,Extreme Exorcism
2015,67,Skyshine's BEDLAM
2015,80,Lovers in a Dangerous Spacetime
2015,59,Cross of the Dutchman
2015,72,"Warhammer 40,000: Regicide"
2015,80,Circa Infinity
2015,71,Act of Aggression - Reboot Edition
2015,80,Company of Heroes 2 - The British Forces
2015,69,Lumini
2015,80,Bowl Bound College Football
2015,80,Rampage Knights
2004,59,Zoo Empire
2004,60,Wars and Warriors: Joan of Arc
2004,58,Marine Park Empire
2015,75,Armello
2015,79,STASIS
2015,75,Satellite Reign
2015,80,Grandia® II Anniversary Edition
2015,85,Mega Man Legacy Collection / ロックマン クラシックス コレクション
2015,68,Nova-111
2015,64,Party Hard
2015,74,Crookz - The Big Heist
2015,81,Shadowrun: Hong Kong - Extended Edition
2015,36,The Flock
2015,68,In Between
2015,80,Volume
2015,60,Beyond Eyes
2015,59,Dream
2015,68,PixelJunk™ Nom Nom Galaxy
2015,64,Legend of Kay Anniversary
2015,70,The Swindle
2015,76,Galacide
2015,58,Kyn
2015,73,Blues and Bullets
2015,72,Way of the Samurai 4
2015,85,Zenzizenzic
2015,82,The Talos Principle: Road To Gehenna
2015,74,Niko: Through The Dream
2015,72,Guild of Dungeoneering
2015,78,AR-K: The Great Escape
2015,76,Luckslinger
2015,64,Legions of Steel
2015,76,Gunpowder
2015,79,The Magic Circle
2015,74,The Red Solstice
2015,61,Traverser
2000,86,Ground Control Anthology
2004,80,Ground Control II: Operation Exodus
2015,70,RONIN
2015,83,Divide By Sheep
2015,71,Legends of Eisenwald
2015,57,Vector Thrust
2015,65,Lethis - Path of Progress
2015,85,Mighty Switch Force! Hyper Drive Edition
2015,86,Her Story
2015,64,Kholat
2015,79,Frozen Cortex - Ultimate Tier DLC
2015,79,Frozen Cortex - Mega Tier DLC
2015,79,Frozen Cortex - Soundtrack DLC
2015,60,Sylvio
2015,72,Adventures of Pip
2015,69,Star Hammer: The Vanguard Prophecy
2015,63,Dirty Bomb®
2015,75,Rebuild 3: Gangs of Deadsville
2015,82,The Next Penelope
2015,75,Serpent in the Staglands
2015,59,Subject 13
2015,64,Phantom Breaker: Battle Grounds - Original Soundtrack
2015,69,Magicka 2
2015,76,Audiosurf 2
2015,61,Magnetic: Cage Closed
2015,63,MISSING: An Interactive Thriller - Episode One
2015,66,Sunset
2015,48,Epanalepsis
2015,77,Interloper
2015,82,Technobabylon
2015,75,NOT A HERO
2015,80,Axiom Verge
2015,82,"Invisible, Inc."
2015,72,LOST ORBIT
2015,57,Toren
2015,73,Lemma
2015,67,Last Word
2015,61,Sym
1997,68,Tony Tough and the Night of Roasted Moths
2001,83,Independence War® 2: Edge of Chaos
2015,76,Wolfenstein: The Old Blood
2015,86,Black Mesa
2015,74,Space Colony: Steam Edition
2015,72,Block N Load
2015,58,The Weaponographist
2015,74,"Guns, Gore & Cannoli"
2015,81,Order of Battle: World War II
2015,75,Chroma Squad
2015,88,Kerbal Space Program
2015,54,Son of Nor
2015,70,Verdun
2015,61,Perils of Man
2015,67,Uncanny Valley
2006,71,MX vs. ATV Unleashed
2015,96,Grand Theft Auto V
2015,76,Mortal Kombat X
2015,80,Age of Wonders III - Eternal Lords Expansion
2015,64,Fire
2015,70,StarDrive 2
2015,60,I am Bread
2015,59,VoidExpanse
2015,74,Titan Souls
2015,49,theHunter: Primal
2015,89,Pillars of Eternity
2015,52,Worlds of Magic
2015,71,Dyscourse
2015,77,Three Fourths Home: Extended Edition
2015,64,Phantom Breaker: Battle Grounds - Kurisu Makise + Level 99 Pack
2015,45,LA Cops
2015,55,Hektor
2015,74,Assassin’s Creed® Rogue
2015,85,Cities: Skylines
2015,68,Parallax
2015,55,Mushroom Men: Truffle Trouble
2015,88,Ori and the Blind Forest
2015,72,Tormentum - Dark Sorrow
2015,81,Vietnam ‘65
2015,70,Steel Armor: Blaze of War
2015,72,Zombie Army Trilogy
2015,68,Five Nights at Freddy's 3
2015,63,Pneuma: Breath of Life
2015,69,Oblitus
2015,59,The Deer God
2015,82,BLACKHOLE
2015,70,A Druid's Duel
2006,73,Disney•Pixar Cars
2015,58,There Came an Echo
2015,79,Frozen Cortex
2015,80,The Book of Unwritten Tales 2
2015,60,Decay: The Mare
2015,71,The Escapists
2015,80,Total War: ATTILA
2015,77,Evolve Stage 2
2015,70,Harold
2015,77,Deathtrap
2015,76,Castle In The Darkness
2015,47,Cities XXL
2015,56,Supreme League of Patriots
2015,72,Hyperdimension Neptunia Re;Birth1 / 超次次元ゲイム ネプテューヌRe;Birth1 / 超次次元遊戲戰機少女重生1
2015,32,Zombeer
2015,65,Heroes® of Might & Magic® III - HD Edition
2015,75,Gravity Ghost
2015,87,Dying Light
2015,84,Grim Fandango Remastered
2015,85,Roche Fusion
2015,64,Phantom Breaker: Battle Grounds
2015,66,Saints Row: Gat out of Hell
2015,74,Blackguards 2
2015,66,Citizens of Earth
2015,65,"War, the Game"
2015,55,Warhammer Quest
2015,55,Warhammer Quest
2014,75,Roundabout
2014,85,The Talos Principle
2014,70,Vertical Drop Heroes HD Demo
2014,61,Redux: Dark Matters
2007,68,Sinking Island
2014,73,LARA CROFT AND THE TEMPLE OF OSIRIS™
2014,70,Dead State: Reanimated
2014,76,Fight The Dragon
2014,71,The Crew™
2014,70,Lumino City
2014,62,The Old City: Leviathan
2014,53,Akaneiro: Demon Hunters
2014,68,"Warhammer 40,000: Armageddon"
2014,68,Rollers of the Realm
2014,83,Frozen Synapse Prime
2014,83,This War of Mine
2014,71,Lords of Xulima
