release_year,metascore,app_name
2009,78,Nancy Drew®: Ransom of the Seven Ships
2006,NA,3D Ultra™ Minigolf Adventures
2007,71,TimeShift™
2008,86,Bionic Commando: Rearmed
2009,69,Bionic Commando
2009,44,Watchmen: The End is Nigh Part 2
2009,80,Osmos
1998,86,Fallout 2: A Post Nuclear Role Playing Game
2001,82,Fallout Tactics: Brotherhood of Steel
2000,89,Sacrifice
2009,84,"Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack"
2005,92,Tom Clancy's Splinter Cell Chaos Theory®
2009,74,Mini Ninjas
2009,77,Risen
2009,85,Machinarium
2007,78,Medal of Honor: Airborne
2009,83,Need for Speed: Shift
2009,83,Torchlight
2009,63,East India Company: Privateer
2009,38,Painkiller: Resurrection
2009,80,SpellForce 2 - Anniversary Edition
2009,76,Rush for Berlin Gold
2009,77,Men of War: Red Tide
2009,74,SpellForce - Platinum Edition
2003,77,Massive Assault
2009,77,Nancy Drew® Dossier: Resorting to Danger!
2009,68,Serious Sam HD: The First Encounter
2009,64,Secret Files 2: Puritas Cordis
2009,91,Dragon Age: Origins
2009,86,Call of Duty®: Modern Warfare® 2
2009,77,LEGO® Star Wars™ - The Complete Saga
2007,81,Overlord™
2007,85,Command & Conquer 3: Tiberium Wars
2009,77,Command & Conquer 3: Kane's Wrath
2009,72,Gratuitous Space Battles
2009,78,Wings of Prey
2005,70,The Bard's Tale
2009,65,STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition
2009,86,Europa Universalis III: Heir to the Throne
2009,91,Fallout 3: Game of the Year Edition
2009,72,Roogoo
2008,78,Devil May Cry 4
2010,68,Avencast: Rise of the Mage
2010,68,UFO: Extraterrestrials Gold
2010,66,LEGO® Indiana Jones™ 2: The Adventure Continues
2010,57,Vancouver 2010™ - The Official Video Game of the Olympic Winter Games
2001,87,Serious Sam Classic: The First Encounter
2010,78,Mount & Blade: Warband
2010,76,Plain Sight
2010,70,Lead and Gold: Gangs of the Wild West
2010,70,Beat Hazard
2010,53,M.U.D. TV
2010,79,The Misadventures of P.B. Winterbottom
2003,59,AquaNox 2: Revelation
2001,67,AquaNox
2008,59,Iron Grip: Warlord
2010,63,Rocket Knight
2010,72,Alpha Protocol™
2010,64,Alien Breed: Impact
2010,77,Alien Swarm
2010,56,Disciples III - Renaissance Steam Special Edition
2010,75,Tidalis
2010,61,Razor2: Hidden Skies
2010,66,Kane & Lynch 2: Dog Days
